timestamp,value1,value2
457.784,0.5422124241853407,0.7057705002355033
457.792,0.7038012462851277,0.6714010301772215
457.8,0.6987264435119737,0.6281411576947863
457.808,0.7763005042733133,0.5884296834794676
457.816,0.832013059271975,0.5448277377464871
457.824,0.8959861493144229,0.49552130896073365
457.832,0.8459872044432014,0.447738275425979
457.84,0.8542367447917715,0.40111927703244493
457.848,0.7784719773774702,0.3559009868582562
457.856,0.854126202868988,0.31207033255584216
457.864,0.9345834850575482,0.2626917396550168
457.872,1.0124619714553909,0.21084211175286907
457.88,1.0068155732096715,0.15794798524414227
457.888,0.883767545783026,0.10737662983979485
457.896,0.9693083220989266,0.057569186936082
457.904,0.7997238214547899,0.009565881529706569
457.912,0.6733568511330357,-0.028083806739777093
457.92,0.6368140831380961,-0.06273339148821895
457.928,0.7141365387883513,-0.0970198554761122
457.936,0.5667578473125847,-0.12889349588838175
457.944,0.5318796010495699,-0.15584793772786373
457.952,0.4796330467217984,-0.18084168709209267
457.96,0.33652915416956786,-0.2000754541086125
457.968,0.36115333711452413,-0.2152610555931371
457.976,0.31946759216261544,-0.22625152667866272
457.984,0.2539323431466069,-0.23539840716418778
457.992,0.19127540567613652,-0.2439156843994482
458.0,0.131664927502149,-0.24703574525983657
458.008,0.2145498291723644,-0.2523276348348643
458.016,0.12628315000399445,-0.2583555926493274
458.024,0.2631820853986319,-0.2636437648990674
458.032,0.2696812705368886,-0.27130719285489036
458.04,0.23098241926411098,-0.2776403637147147
458.048,0.12313194362429566,-0.2800540857603636
458.056,0.19660384484175306,-0.28063289830066773
458.064,0.06391840655904447,-0.2822104018709499
458.072,-0.01599279665900343,-0.27553223370352004
458.08,-0.03489984133173731,-0.2675078884915544
458.088,0.04207546534815758,-0.2603668142815468
458.096,0.05221230553766121,-0.25826525038514475
458.104,-0.031040678326180404,-0.25164355103187175
458.112,-0.07370828316765773,-0.2442740838878919
458.12,-0.12402968978756297,-0.2342024343539318
458.128,0.0038920604233085108,-0.22337435516433649
458.136,0.014793858882699143,-0.21978485603802622
458.144,0.045522810507784284,-0.21540334258427454
458.152,-0.009060039147222601,-0.2128135556108919
458.16,0.07522584720159392,-0.21112247470021764
458.168,0.06180583267762495,-0.20989129110654528
458.176,0.04851284725043714,-0.20751183137181858
458.184,-0.0614670223772044,-0.20280282371213879
458.192,-0.15923765503227444,-0.19362270926733852
458.2,-0.14975141220705226,-0.18162862366722235
458.208,-0.18162659474655513,-0.1667880565349083
458.216,-0.19010132463081442,-0.15177947873356135
458.224,-0.31110133787929917,-0.13340099717109016
458.232,-0.2853802073624294,-0.1115813495051789
458.24,-0.3280745414973612,-0.0924473284006217
458.248,-0.27405950365973075,-0.07464965245472774
458.256,-0.2333321444046978,-0.057184150786193454
458.264,-0.2957752318059322,-0.0410700811505878
458.272,-0.4577722595934713,-0.018690794360861487
458.28,-0.5599925012071464,0.011178229280065656
458.288,-0.5112236001178027,0.03995163358550454
458.296,-0.5177194114642881,0.06720164445492033
458.304,-0.5817030908358283,0.09688686679302365
458.312,-0.719729341655187,0.1310992089395809
458.32,-0.7508350315676439,0.17218934697659596
458.328,-0.769890562888276,0.21494056156416158
458.336,-0.841411793449544,0.2592118007530387
458.344,-0.8296725198239999,0.306152327742266
458.352,-0.9430675220751157,0.35626163602364125
458.36,-0.9503912858747771,0.4049558934285248
458.368,-0.975439430342619,0.45461091212137894
458.376,-0.9614914542240367,0.5063581233788926
458.384,-1.0137684013774482,0.558067020903523
458.392,-0.919210994596075,0.6067568765125018
458.4,-0.8932846892713684,0.6519188454696034
458.408,-0.9781791251501445,0.7001800539741142
458.416,-0.8740098234945112,0.7468412770453647
458.424,-0.8730562071571812,0.7886428705812941
458.432,-1.00072811797317,0.8363042666234053
458.44,-0.9116184685176457,0.8857672439751392
458.448,-0.8827812541812591,0.930261733038887
458.456,-0.8098365701038033,0.9739693356800403
458.464,-0.7294616689733415,1.0079560283438975
458.472,-0.6298704512775221,1.041435738310637
458.48,-0.5218949851186533,1.0673976134827698
458.488,-0.46335891169134524,1.0901045020403772
458.496,-0.520060922788165,1.1121446592542508
458.504,-0.40599829557225353,1.1314622123997633
458.512,-0.3510549104465125,1.1437635750313384
458.52,-0.37575112122446425,1.1562963130167592
458.528,-0.1543452326140679,1.1644586482088717
458.536,-0.029693557146386225,1.1629324661299458
458.544,0.035215537169937965,1.1556747772966212
458.552,0.0392853226509402,1.149182638301404
458.56,0.05765640050828982,1.1412286441807982
458.568,0.17400854806981872,1.1276502461881768
458.576,0.2897193894826622,1.109194349115807
458.584,0.2561806801430788,1.0875129377479993
458.592,0.3671309744833318,1.0644478337842074
458.6,0.42632598174071745,1.0380102339100092
458.608,0.43044776682987845,1.0079244788368542
458.616,0.4184791321909145,0.9789953255284907
458.624,0.4967997978802788,0.9506722298547835
458.632,0.5372214364356788,0.9143851819531367
458.64,0.701394447209267,0.8736959614137025
458.648,0.5817221376482596,0.8314830754159995
458.656,0.6840563124131886,0.7920289879850777
458.664,0.9103849609046442,0.7440198498613054
458.672,0.9585495862780039,0.6886142293084663
458.68,0.9111391263769372,0.6305883162463879
458.688,0.9741574171320325,0.5747987522127094
458.696,0.9065690945729472,0.5189200429449712
458.704,0.9483467945192751,0.46385010050394804
458.712,0.959318033326859,0.4068999871855477
458.72,0.9951017214500532,0.3515082389091791
458.728,1.0948025345047232,0.2935259969520086
458.736,1.1833813355248224,0.22804900594566838
458.744,1.1575673108681168,0.1627675394656389
458.752,1.2579643926664348,0.09412283525060586
458.76,1.2921728379096713,0.02261707181585383
458.768,1.2225379136206276,-0.04874467886660592
458.776,1.0962235747095361,-0.11559654066924559
458.784,1.0960255391017169,-0.1752720659540918
458.792,1.0606995098037455,-0.23707333344223713
458.8,0.9824224297918385,-0.29119202242684544
458.808,1.0657326806249736,-0.3483462736607165
458.816,1.2739995425450015,-0.4107856600861106
458.824,1.1910324420356424,-0.4787600960238049
458.832,1.0900802132732257,-0.5415435520996321
458.84,1.0681644631696177,-0.5999529614302829
458.848,0.9828326147967352,-0.6553453742380453
458.856,0.89828918312994,-0.7044818732401077
458.864,0.8444399598415815,-0.7484521625985157
458.872,0.7495328519754493,-0.7887487896065445
458.88,0.6263626441740099,-0.8227473978044346
458.888,0.47707026057957613,-0.8476520510836385
458.896,0.3713970447040431,-0.8680865102424482
458.904,0.19281639433060138,-0.8770213784686838
458.912,0.182191846281921,-0.8826503359862862
458.92,0.12958957353930867,-0.8878489218700423
458.928,-0.024156623167167067,-0.8862069130275622
458.936,-0.13130127863973792,-0.8778040473976874
458.944,-0.05724554134452259,-0.8686601650724656
458.952,-0.2432681492073493,-0.8537524234197723
458.96,-0.20329355313645572,-0.8337100721716298
458.968,-0.33993917162024584,-0.8129358433446126
458.976,-0.3900100895381273,-0.7881735879980651
458.984,-0.3158676652645436,-0.7643596303187644
458.992,-0.31199835231209916,-0.7438185486044678
459.0,-0.4276071007522169,-0.7182783926693231
459.008,-0.4554504127517991,-0.687584426862071
459.016,-0.5201385371451713,-0.6555036444946807
459.024,-0.5577917214901901,-0.6202803239059284
459.032,-0.5724480011434037,-0.5835107333407211
